EventId,Date,Time,Period,Actual,Forecast,Previous
USD::chicago fed national activity::none,2008-01-01,17:00,dec,-0.65,,-0.09
USD::chicago pmi::none,2008-01-01,17:00,dec,55.90,,53.40
GBP::claimant count change::none,2008-01-01,17:00,dec,-10.00K,,-11.10K
USD::cleveland cpi::m/m,2008-01-01,17:00,dec,0.20%,,0.30%
USD::construction spending::m/m,2008-01-01,17:00,dec,-1.60%,,-2.20%
MXN::consumer confidence::none,2008-01-01,17:00,dec,103.70,,102.50
SEK::consumer confidence::none,2008-01-01,17:00,dec,104.70,,106.60
MXN::consumer confidence n.s.a.::none,2008-01-01,17:00,dec,105.60,,100.00
USD::consumer credit::none,2008-01-01,17:00,dec,8.53B,,15.45B
USD::continuing jobless claims::none,2008-01-01,17:00,dec,"2,734.90K",,"2,621.77K"
CAD::core cpi::m/m,2008-01-01,17:00,dec,-0.30%,,0.00%
MXN::core cpi::m/m,2008-01-01,17:00,dec,0.38%,,0.23%
CAD::core cpi::y/y,2008-01-01,17:00,dec,1.50%,,1.60%
USD::core cpi index::none,2008-01-01,17:00,dec,213.17,,212.66
USD::core pce price index::m/m,2008-01-01,17:00,dec,0.20%,,0.20%
USD::core pce price index::y/y,2008-01-01,17:00,dec,2.30%,,2.30%
GBP::core ppi output::m/m,2008-01-01,17:00,dec,0.20%,,0.10%
GBP::core ppi output::y/y,2008-01-01,17:00,dec,1.60%,,1.40%
GBP::core rpi::m/m,2008-01-01,17:00,dec,0.50%,,0.40%
GBP::core rpi::y/y,2008-01-01,17:00,dec,3.10%,,3.20%
CAD::core retail sales::m/m,2008-01-01,17:00,dec,0.90%,,2.00%
GBP::core retail sales::m/m,2008-01-01,17:00,dec,-0.80%,,0.40%
USD::core retail sales::m/m,2008-01-01,17:00,dec,-0.30%,,1.70%
GBP::core retail sales::y/y,2008-01-01,17:00,dec,1.10%,,2.50%
USD::crude oil inventories::none,2008-01-01,17:00,dec,-4.05M,,-1.58M
USD::dallas fed mfg business index::none,2008-01-01,17:00,dec,-21.60,,-10.50
USD::dallas fed pce::none,2008-01-01,17:00,dec,2.70%,,3.10%
USD::dallas fed services revenues::none,2008-01-01,17:00,dec,18.30,,21.80
USD::domestic truck sales::none,2008-01-01,17:00,dec,6.75M,,6.73M
USD::durables excluding defense::m/m,2008-01-01,17:00,dec,1.50%,,2.90%
USD::eia weekly distillates stocks::none,2008-01-01,17:00,dec,-1.16M,,-0.68M
MXN::economic activity::m/m,2008-01-01,17:00,dec,0.54%,,-0.60%
MXN::economic activity::y/y,2008-01-01,17:00,dec,2.94%,,3.45%
CAD::employment change::none,2008-01-01,17:00,dec,3.40K,,16.40K
USD::existing home sales::none,2008-01-01,17:00,dec,4.41M,,4.46M
USD::existing home sales::m/m,2008-01-01,17:00,dec,-1.10%,,0.70%
USD::export price index::m/m,2008-01-01,17:00,dec,0.50%,,0.90%
CAD::exports::none,2008-01-01,17:00,dec,36.04B,,37.64B
USD::factory orders::m/m,2008-01-01,17:00,dec,1.90%,,3.30%
USD::factory orders ex transportation::m/m,2008-01-01,17:00,dec,0.50%,,2.90%
USD::federal budget balance::none,2008-01-01,17:00,dec,48.30B,,-98.20B
MXN::fiscal balance::none,2008-01-01,17:00,dec,-187.29B,,3.59B
CAD::foreign securities purchases::none,2008-01-01,17:00,dec,1.84B,,-4.68B
CAD::foreign securities purchases by canadians::none,2008-01-01,17:00,dec,2.99B,,-2.40B
CAD::full employment change::none,2008-01-01,17:00,dec,5.30K,,14.80K
CAD::gdp::m/m,2008-01-01,17:00,dec,-0.30%,,0.20%
USD::gasoline inventories::none,2008-01-01,17:00,dec,1.97M,,1.36M
GBP::gfk consumer confidence::none,2008-01-01,17:00,dec,-14.00,,-10.00
USD::government payrolls::none,2008-01-01,17:00,dec,42.00K,,37.00K
MXN::gross fixed investments::m/m,2008-01-01,17:00,dec,-0.04%,,0.58%
MXN::gross fixed investments::y/y,2008-01-01,17:00,dec,7.23%,,9.92%
GBP::halifax house price index::m/m,2008-01-01,17:00,dec,1.00%,,-1.30%
GBP::halifax house price index::y/y,2008-01-01,17:00,dec,5.20%,,6.30%
USD::house price index::none,2008-01-01,17:00,dec,218.10,,219.10
USD::house price index::m/m,2008-01-01,17:00,dec,-0.50%,,-0.60%
USD::house price index::y/y,2008-01-01,17:00,dec,-3.10%,,-2.60%
CAD::housing starts::none,2008-01-01,17:00,dec,174.80K,,235.50K
USD::housing starts::none,2008-01-01,17:00,dec,1.04M,,1.20M
USD::housing starts::m/m,2008-01-01,17:00,dec,-13.40%,,-5.30%
CAD::ippi::m/m,2008-01-01,17:00,dec,1.10%,,0.70%
CAD::ippi::y/y,2008-01-01,17:00,dec,-0.50%,,-0.30%
USD::ism manufacturing employment::none,2008-01-01,17:00,dec,48.60,,48.40
USD::ism manufacturing new orders index::none,2008-01-01,17:00,dec,46.50,,52.40
USD::ism manufacturing pmi::none,2008-01-01,17:00,dec,49.00,,50.50
USD::ism manufacturing prices::none,2008-01-01,17:00,dec,68.00,,67.50
USD::ism non - manufacturing business activity::none,2008-01-01,17:00,dec,53.20,,55.70
USD::ism non - manufacturing employment::none,2008-01-01,17:00,dec,51.80,,51.60
USD::ism non - manufacturing new orders::none,2008-01-01,17:00,dec,52.50,,51.90
USD::ism non - manufacturing pmi::none,2008-01-01,17:00,dec,52.50,,52.70
USD::ism non - manufacturing prices::none,2008-01-01,17:00,dec,73.40,,75.30
USD::ism - new york index::none,2008-01-01,17:00,dec,433.30,,431.20
USD::import price index::m/m,2008-01-01,17:00,dec,-0.20%,,3.20%
CAD::imports::none,2008-01-01,17:00,dec,34.08B,,33.87B
GBP::industrial production::m/m,2008-01-01,17:00,dec,-0.40%,,0.20%
MXN::industrial production::m/m,2008-01-01,17:00,dec,1.72%,,-1.13%
USD::industrial production::m/m,2008-01-01,17:00,dec,0.00%,,0.60%
GBP::industrial production::y/y,2008-01-01,17:00,dec,0.60%,,0.10%
MXN::industrial production::y/y,2008-01-01,17:00,dec,2.81%,,0.53%
USD::initial jobless claims::none,2008-01-01,17:00,dec,349.10K,,339.05K
MXN::interest rate decision::none,2008-01-01,17:00,dec,7.50%,,7.50%
CAD::ivey pmi n.s.a::none,2008-01-01,17:00,dec,45.90,,58.70
USD::jolts job openings::none,2008-01-01,17:00,dec,4.32M,,4.28M
USD::jobless claims 4 - week avg.::none,2008-01-01,17:00,dec,345.13K,,333.90K
USD::kc fed composite index::none,2008-01-01,17:00,dec,8.00,,4.00
USD::kc fed manufacturing index::none,2008-01-01,17:00,dec,13.00,,9.00
GBP::m4 money supply::m/m,2008-01-01,17:00,dec,1.40%,,0.20%
USD::mba 30 - year mortgage rate::none,2008-01-01,17:00,dec,6.08%,,6.08%
USD::mba purchase index::none,2008-01-01,17:00,dec,412.45,,429.38
USD::manufacturing payrolls::none,2008-01-01,17:00,dec,-11.00K,,-7.00K
GBP::manufacturing production::m/m,2008-01-01,17:00,dec,-0.50%,,0.80%
USD::manufacturing production::m/m,2008-01-01,17:00,dec,0.10%,,0.50%
GBP::manufacturing production::y/y,2008-01-01,17:00,dec,-0.30%,,-0.10%
CAD::manufacturing sales::m/m,2008-01-01,17:00,dec,-3.60%,,1.00%
USD::michigan 1 - year inflation expectations::none,2008-01-01,17:00,dec,3.40%,,3.40%
USD::michigan 5 - year inflation expectations::none,2008-01-01,17:00,dec,3.10%,,2.90%
USD::michigan consumer expectations::none,2008-01-01,17:00,dec,63.20,,66.20
USD::michigan consumer sentiment::none,2008-01-01,17:00,dec,75.50,,75.00
USD::michigan current conditions::none,2008-01-01,17:00,dec,91.00,,91.00
USD::midwest manufacturing::none,2008-01-01,17:00,dec,100.60,,100.40
GBP::mortgage approvals::none,2008-01-01,17:00,dec,75.22K,,80.95K
GBP::mortgage lending::none,2008-01-01,17:00,dec,6.85B,,7.33B
USD::mortgage market index::none,2008-01-01,17:00,dec,653.45,,703.49
USD::mortgage refinance index::none,2008-01-01,17:00,dec,"2,144.87",,"2,327.35"
USD::nahb housing market index::none,2008-01-01,17:00,dec,18.00,,19.00
USD::nfib small business optimism::none,2008-01-01,17:00,dec,94.60,,94.40
USD::ny empire state manufacturing index::none,2008-01-01,17:00,dec,8.69,,25.77
GBP::nationwide hpi::m/m,2008-01-01,17:00,dec,-0.30%,,-1.00%
GBP::nationwide hpi::y/y,2008-01-01,17:00,dec,4.80%,,6.90%
USD::natural gas storage::none,2008-01-01,17:00,dec,-131.71B,,-20.59B
USD::new home sales::none,2008-01-01,17:00,dec,619.00K,,641.00K
USD::new home sales::m/m,2008-01-01,17:00,dec,-3.40%,,-11.80%
CAD::new housing price index::m/m,2008-01-01,17:00,dec,0.10%,,0.50%
USD::overall net capital flow::none,2008-01-01,17:00,dec,38.20B,,120.70B
GBP::ppi input::m/m,2008-01-01,17:00,dec,2.00%,,3.70%
GBP::ppi input::y/y,2008-01-01,17:00,dec,13.50%,,12.30%
GBP::ppi output::m/m,2008-01-01,17:00,dec,0.40%,,0.80%
GBP::ppi output::y/y,2008-01-01,17:00,dec,4.60%,,4.40%
CAD::part time employment change::none,2008-01-01,17:00,dec,-1.90K,,1.60K
CAD::participation rate::none,2008-01-01,17:00,dec,67.60%,,67.70%
USD::pending home sales::m/m,2008-01-01,17:00,dec,-2.40%,,-0.80%
USD::pending home sales index::none,2008-01-01,17:00,dec,86.10,,88.20
USD::personal income::m/m,2008-01-01,17:00,dec,0.70%,,0.40%
USD::personal spending::m/m,2008-01-01,17:00,dec,0.20%,,0.80%
USD::philadelphia fed manufacturing index::none,2008-01-01,17:00,dec,-5.50,,7.40
USD::philly fed business conditions::none,2008-01-01,17:00,dec,22.00,,21.30
USD::philly fed capex index::none,2008-01-01,17:00,dec,25.00,,6.90
USD::philly fed employment::none,2008-01-01,17:00,dec,1.60,,4.20
USD::philly fed new orders::none,2008-01-01,17:00,dec,9.60,,5.30
USD::philly fed prices paid::none,2008-01-01,17:00,dec,40.50,,41.90
USD::private nonfarm payrolls::none,2008-01-01,17:00,dec,55.00K,,80.00K
GBP::public sector net borrowing::none,2008-01-01,17:00,dec,8.20B,,10.99B
GBP::public sector net cash requirement::none,2008-01-01,17:00,dec,16.81B,,10.01B
CAD::rmpi::m/m,2008-01-01,17:00,dec,0.90%,,3.00%
CAD::rmpi::y/y,2008-01-01,17:00,dec,10.70%,,15.30%
GBP::rpi::m/m,2008-01-01,17:00,dec,0.60%,,0.40%
GBP::rpi::y/y,2008-01-01,17:00,dec,4.00%,,4.30%
USD::real earnings::m/m,2008-01-01,17:00,dec,0.30%,,-0.60%
USD::real personal consumption::m/m,2008-01-01,17:00,dec,-0.10%,,0.30%
USD::redbook::m/m,2008-01-01,17:00,dec,-0.63%,,0.26%
USD::redbook::y/y,2008-01-01,17:00,dec,1.40%,,2.33%
USD::retail control::m/m,2008-01-01,17:00,dec,-0.30%,,1.10%
CAD::retail sales::m/m,2008-01-01,17:00,dec,1.90%,,1.90%
GBP::retail sales::m/m,2008-01-01,17:00,dec,-0.40%,,0.50%
USD::retail sales::m/m,2008-01-01,17:00,dec,-0.70%,,0.80%
GBP::retail sales::y/y,2008-01-01,17:00,dec,2.70%,,2.50%
USD::retail sales ex gas/autos::m/m,2008-01-01,17:00,dec,-0.20%,,1.00%
USD::richmond manufacturing index::none,2008-01-01,17:00,dec,-4.00,,2.00
USD::richmond manufacturing shipments::none,2008-01-01,17:00,dec,-9.00,,3.00
USD::richmond services index::none,2008-01-01,17:00,dec,0.00,,-2.00
USD::s&p/cs hpi composite - 20 n.s.a.::m/m,2008-01-01,17:00,dec,-2.10%,,-2.10%
USD::s&p/cs hpi composite - 20 n.s.a.::y/y,2008-01-01,17:00,dec,-9.00%,,-7.70%
USD::s&p/cs hpi composite - 20 s.a.::m/m,2008-01-01,17:00,dec,-1.50%,,-1.60%
USD::tic net long - term transactions::none,2008-01-01,17:00,dec,48.20B,,82.00B
USD::tic net long - term transactions including swaps::none,2008-01-01,17:00,dec,34.50B,,65.30B
USD::texas services sector outlook::none,2008-01-01,17:00,dec,-4.30,,1.40
CAD::trade balance::none,2008-01-01,17:00,dec,1.96B,,3.77B
GBP::trade balance::none,2008-01-01,17:00,dec,-8.02B,,-8.82B
MXN::trade balance::none,2008-01-01,17:00,dec,-0.54B,,-0.82B
USD::trade balance::none,2008-01-01,17:00,dec,-57.20B,,-59.70B
MXN::trade balance (usd)::none,2008-01-01,17:00,dec,-0.43B,,-0.09B
GBP::trade balance non - eu::none,2008-01-01,17:00,dec,-4.41B,,-5.06B
"USD::us foreign buying, t - bonds::none",2008-01-01,17:00,dec,0.40B,,19.80B
CAD::unemployment rate::none,2008-01-01,17:00,dec,6.00%,,6.00%
GBP::unemployment rate::none,2008-01-01,17:00,dec,5.20%,,5.20%
MXN::unemployment rate::none,2008-01-01,17:00,dec,3.54%,,3.57%
MXN::unemployment rate n.s.a.::none,2008-01-01,17:00,dec,3.11%,,3.35%
USD::wholesale inventories::m/m,2008-01-01,17:00,dec,1.20%,,1.20%
CAD::wholesale sales::m/m,2008-01-01,17:00,dec,-2.70%,,0.00%
USD::fed's balance sheet::none,2008-01-03,04:30,,922.19B,,890.66B
USD::cftc crude oil speculative net positions::none,2008-01-04,04:30,,87.7k,,48.4k
USD::nonfarm payrolls::none,2008-01-04,20:30,dec,82K,,94K
USD::u.s. baker hughes oil rig count::none,2008-01-05,01:00,,316,,325
USD::fed's balance sheet::none,2008-01-10,04:30,,880.75B,,922.19B
GBP::boe interest rate decision::none,2008-01-10,08:00,,5.50%,,5.50%
USD::u.s. baker hughes oil rig count::none,2008-01-12,01:00,,327,,316
USD::cftc crude oil speculative net positions::none,2008-01-12,04:30,,97.1k,,87.7k
ILS::cpi::y/y,2008-01-15,23:00,dec,3.4%,,2.8%
USD::cpi::m/m,2008-01-16,21:30,dec,0.3%,,0.8%
USD::cpi::y/y,2008-01-16,21:30,dec,4.1%,,4.3%
USD::core cpi::m/m,2008-01-16,21:30,dec,0.2%,,0.3%
USD::core cpi::y/y,2008-01-16,21:30,dec,2.4%,,2.3%
USD::fed's balance sheet::none,2008-01-17,04:30,,893.58B,,880.75B
USD::us leading index::m/m,2008-01-18,23:00,dec,-0.2%,-0.1%,-0.4%
USD::u.s. baker hughes oil rig count::none,2008-01-19,01:00,,323,,327
AUD::cftc aud speculative net positions::none,2008-01-19,04:30,,25.5K,,23.4K
CAD::cftc cad speculative net positions::none,2008-01-19,04:30,,7.8K,,16.4K
CHF::cftc chf speculative net positions::none,2008-01-19,04:30,,5.2K,,-2.2K
USD::cftc crude oil speculative net positions::none,2008-01-19,04:30,,88.9k,,97.1k
EUR::cftc eur speculative net positions::none,2008-01-19,04:30,,45.0K,,51.9K
GBP::cftc gbp speculative net positions::none,2008-01-19,04:30,,0.3K,,-3.3K
JPY::cftc jpy speculative net positions::none,2008-01-19,04:30,,37.2K,,37.5K
MXN::cftc mxn speculative net positions::none,2008-01-19,04:30,,30.0K,,55.9K
NZD::cftc nzd speculative net positions::none,2008-01-19,04:30,,15.7K,,13.5K
USD::cftc silver speculative net positions::none,2008-01-19,04:30,,43.0K,,41.1K
CAD::boc interest rate decision::none,2008-01-22,08:00,,4.00%,,4.25%
USD::fed interest rate decision::none,2008-01-23,02:15,,3.50%,,4.25%
USD::fed's balance sheet::none,2008-01-24,04:30,,877.25B,,893.58B
EUR::german ifo business climate index::none,2008-01-24,17:00,,103.4,102.3,103
USD::u.s. baker hughes oil rig count::none,2008-01-26,01:00,,318,,323
AUD::cftc aud speculative net positions::none,2008-01-26,04:30,,5.6K,,25.5K
CAD::cftc cad speculative net positions::none,2008-01-26,04:30,,7.7K,,7.8K
CHF::cftc chf speculative net positions::none,2008-01-26,04:30,,15.4K,,5.2K
USD::cftc crude oil speculative net positions::none,2008-01-26,04:30,,32.4k,,88.9k
EUR::cftc eur speculative net positions::none,2008-01-26,04:30,,23.7K,,45.0K
GBP::cftc gbp speculative net positions::none,2008-01-26,04:30,,-0.7K,,0.3K
USD::cftc gold speculative net positions::none,2008-01-26,04:30,,205.1K,,212.0K
JPY::cftc jpy speculative net positions::none,2008-01-26,04:30,,41.8K,,37.2K
MXN::cftc mxn speculative net positions::none,2008-01-26,04:30,,24.0K,,30.0K
NZD::cftc nzd speculative net positions::none,2008-01-26,04:30,,11.5K,,15.7K
USD::cftc silver speculative net positions::none,2008-01-26,04:30,,46.6K,,43.0K
USD::fed interest rate decision::none,2008-01-31,02:15,,3.00%,,3.50%
USD::fed's balance sheet::none,2008-01-31,04:30,,900.26B,,877.25B
MXN::1st half - month cpi::none,2008-02-01,17:00,jan,0.27%,,
MXN::1st half - month core cpi::none,2008-02-01,17:00,jan,0.25%,,
USD::5 - year note auction::none,2008-02-01,17:00,jan,2.88%,,3.63%
USD::all car sales::none,2008-02-01,17:00,jan,7.42M,,7.60M
USD::all truck sales::none,2008-02-01,17:00,jan,7.96M,,8.12M
GBP::average earnings ex bonus::none,2008-02-01,17:00,jan,4.10%,,4.00%
USD::average hourly earnings::m/m,2008-02-01,17:00,jan,0.10%,,0.30%
USD::average weekly hours::none,2008-02-01,17:00,jan,34.50,,34.60
GBP::boe consumer credit::none,2008-02-01,17:00,jan,0.59B,,0.10B
CAD::budget balance::none,2008-02-01,17:00,jan,1.16B,,1.84B
CAD::budget balance::y/y,2008-02-01,17:00,jan,9.61B,,8.45B
CAD::building permits::m/m,2008-02-01,17:00,jan,-2.60%,,0.00%
USD::cb employment trends index::none,2008-02-01,17:00,jan,124.80,,124.40
GBP::cpi::m/m,2008-02-01,17:00,jan,-0.70%,,0.60%
KRW::cpi::m/m,2008-02-01,17:00,jan,0.50%,,0.40%
MXN::cpi::m/m,2008-02-01,17:00,jan,0.46%,,0.41%
SEK::cpi::m/m,2008-02-01,17:00,jan,-0.80%,,0.20%
CAD::cpi::y/y,2008-02-01,17:00,jan,2.20%,,2.40%
KRW::cpi::y/y,2008-02-01,17:00,jan,3.90%,,3.60%
MXN::cpi::y/y,2008-02-01,17:00,jan,3.70%,,3.76%
SEK::cpi::y/y,2008-02-01,17:00,jan,3.20%,,3.50%
"USD::cpi index, n.s.a.::none",2008-02-01,17:00,jan,211.08,,210.04
SEK::cpif (cpi at constant interest rates)::m/m,2008-02-01,17:00,jan,-0.70%,,0.10%
SEK::cpif (cpi at constant interest rates)::y/y,2008-02-01,17:00,jan,2.30%,,2.40%
USD::capacity utilization rate::none,2008-02-01,17:00,jan,80.70%,,80.80%
USD::chain store sales::m/m,2008-02-01,17:00,jan,0.50%,,0.70%
USD::chain store sales::w/w,2008-02-01,17:00,jan,0.06%,,1.02%
USD::chain store sales::y/y,2008-02-01,17:00,jan,1.48%,,2.35%
USD::challenger job cuts::none,2008-02-01,17:00,jan,74.99K,,44.42K
USD::chicago fed national activity::none,2008-02-01,17:00,jan,-0.54,,-0.65
USD::cleveland cpi::m/m,2008-02-01,17:00,jan,0.30%,,0.20%
USD::construction spending::m/m,2008-02-01,17:00,jan,-0.20%,,-1.60%
MXN::consumer confidence::none,2008-02-01,17:00,jan,103.20,,103.70
SEK::consumer confidence::none,2008-02-01,17:00,jan,101.60,,104.70
MXN::consumer confidence n.s.a.::none,2008-02-01,17:00,jan,103.50,,105.60
USD::consumer credit::none,2008-02-01,17:00,jan,15.06B,,8.53B
USD::continuing jobless claims::none,2008-02-01,17:00,jan,"2,799.43K",,"2,734.90K"
CAD::core cpi::m/m,2008-02-01,17:00,jan,0.10%,,-0.30%
MXN::core cpi::m/m,2008-02-01,17:00,jan,0.43%,,0.38%
CAD::core cpi::y/y,2008-02-01,17:00,jan,1.40%,,1.50%
USD::core cpi index::none,2008-02-01,17:00,jan,213.77,,213.17
USD::core pce price index::y/y,2008-02-01,17:00,jan,2.10%,,2.30%
GBP::core ppi output::m/m,2008-02-01,17:00,jan,0.80%,,0.20%
GBP::core ppi output::y/y,2008-02-01,17:00,jan,2.30%,,1.60%
GBP::core rpi::m/m,2008-02-01,17:00,jan,-0.40%,,0.50%
GBP::core rpi::y/y,2008-02-01,17:00,jan,3.40%,,3.10%
GBP::core retail sales::m/m,2008-02-01,17:00,jan,1.40%,,-0.80%
GBP::core retail sales::y/y,2008-02-01,17:00,jan,3.30%,,1.10%
KRW::current account::none,2008-02-01,17:00,jan,1.22B,,0.81B
USD::dallas fed mfg business index::none,2008-02-01,17:00,jan,-24.90,,-21.60
USD::dallas fed pce::none,2008-02-01,17:00,jan,2.30%,,2.70%
USD::dallas fed services revenues::none,2008-02-01,17:00,jan,10.90,,18.30
USD::domestic truck sales::none,2008-02-01,17:00,jan,6.65M,,6.75M
USD::durables excluding defense::m/m,2008-02-01,17:00,jan,-1.00%,,1.50%
USD::eia weekly distillates stocks::none,2008-02-01,17:00,jan,-0.08M,,-1.16M
MXN::economic activity::m/m,2008-02-01,17:00,jan,0.47%,,0.54%
MXN::economic activity::y/y,2008-02-01,17:00,jan,3.33%,,2.94%
CAD::employment change::none,2008-02-01,17:00,jan,25.90K,,3.40K
USD::existing home sales::m/m,2008-02-01,17:00,jan,-5.40%,,-1.10%
USD::export price index::m/m,2008-02-01,17:00,jan,1.20%,,0.50%
KRW::export price index::y/y,2008-02-01,17:00,jan,5.80%,,3.40%
CAD::exports::none,2008-02-01,17:00,jan,37.62B,,36.04B
KRW::exports::y/y,2008-02-01,17:00,jan,14.90%,,14.80%
KRW::fx reserves - usd::none,2008-02-01,17:00,jan,261.87B,,262.22B
USD::factory orders::m/m,2008-02-01,17:00,jan,-0.90%,,1.90%
USD::factory orders ex transportation::m/m,2008-02-01,17:00,jan,0.50%,,0.50%
USD::federal budget balance::none,2008-02-01,17:00,jan,17.80B,,48.30B
MXN::fiscal balance::none,2008-02-01,17:00,jan,37.76B,,-187.29B
CAD::foreign securities purchases by canadians::none,2008-02-01,17:00,jan,0.35B,,2.99B
CAD::full employment change::none,2008-02-01,17:00,jan,36.60K,,5.30K
CAD::gdp::m/m,2008-02-01,17:00,jan,0.40%,,-0.30%
USD::gasoline inventories::none,2008-02-01,17:00,jan,3.89M,,1.97M
USD::government payrolls::none,2008-02-01,17:00,jan,12.00K,,42.00K
MXN::gross fixed investments::m/m,2008-02-01,17:00,jan,0.28%,,-0.04%
MXN::gross fixed investments::y/y,2008-02-01,17:00,jan,8.46%,,7.23%
GBP::halifax house price index::m/m,2008-02-01,17:00,jan,-0.40%,,1.00%
GBP::halifax house price index::y/y,2008-02-01,17:00,jan,4.50%,,5.20%
USD::house price index::none,2008-02-01,17:00,jan,216.00,,218.10
USD::house price index::m/m,2008-02-01,17:00,jan,-0.90%,,-0.50%
USD::house price index::y/y,2008-02-01,17:00,jan,-4.40%,,-3.10%
SEK::household lending growth::y/y,2008-02-01,17:00,jan,11.13%,,10.83%
CAD::housing starts::none,2008-02-01,17:00,jan,201.40K,,174.80K
USD::housing starts::m/m,2008-02-01,17:00,jan,4.50%,,-13.40%
CAD::ippi::y/y,2008-02-01,17:00,jan,0.20%,,-0.50%
USD::ism manufacturing employment::none,2008-02-01,17:00,jan,47.10,,48.60
USD::ism manufacturing new orders index::none,2008-02-01,17:00,jan,48.00,,46.50
USD::ism manufacturing pmi::none,2008-02-01,17:00,jan,50.30,,49.00
USD::ism manufacturing prices::none,2008-02-01,17:00,jan,76.00,,68.00
USD::ism non - manufacturing business activity::none,2008-02-01,17:00,jan,41.90,,53.20
USD::ism non - manufacturing employment::none,2008-02-01,17:00,jan,45.70,,51.80
USD::ism non - manufacturing new orders::none,2008-02-01,17:00,jan,43.30,,52.50
USD::ism non - manufacturing pmi::none,2008-02-01,17:00,jan,45.00,,52.50
USD::ism non - manufacturing prices::none,2008-02-01,17:00,jan,71.40,,73.40
USD::ism - new york index::none,2008-02-01,17:00,jan,430.80,,433.30
USD::import price index::m/m,2008-02-01,17:00,jan,1.50%,,-0.20%
KRW::import price index::y/y,2008-02-01,17:00,jan,21.20%,,15.50%
CAD::imports::none,2008-02-01,17:00,jan,35.14B,,34.08B
KRW::imports::y/y,2008-02-01,17:00,jan,31.80%,,23.20%
SEK::industrial new orders::y/y,2008-02-01,17:00,jan,0.94%,,4.26%
MXN::industrial production::m/m,2008-02-01,17:00,jan,-0.06%,,1.72%
SEK::industrial production::m/m,2008-02-01,17:00,jan,0.30%,,0.70%
USD::industrial production::m/m,2008-02-01,17:00,jan,-0.20%,,0.00%
GBP::industrial production::y/y,2008-02-01,17:00,jan,-0.20%,,0.60%
MXN::industrial production::y/y,2008-02-01,17:00,jan,1.91%,,2.81%
SEK::industrial production::y/y,2008-02-01,17:00,jan,3.50%,,1.20%
MXN::interest rate decision::none,2008-02-01,17:00,jan,7.50%,,7.50%
SEK::interest rate decision::none,2008-02-01,17:00,jan,4.00%,,4.00%
EUR::italian business confidence::none,2008-02-01,17:00,jan,106.80,,108.20
EUR::italian cpi::y/y,2008-02-01,17:00,jan,3.00%,,2.70%
EUR::italian consumer confidence::none,2008-02-01,17:00,jan,95.70,,99.40
EUR::italian hicp::m/m,2008-02-01,17:00,jan,-0.80%,,0.30%
EUR::italian hicp::y/y,2008-02-01,17:00,jan,3.10%,,2.80%
EUR::italian industrial new orders::m/m,2008-02-01,17:00,jan,8.33%,,-9.18%
EUR::italian industrial new orders::y/y,2008-02-01,17:00,jan,6.91%,,-3.54%
EUR::italian industrial production::y/y,2008-02-01,17:00,jan,2.50%,,-6.40%
